23,22,20,28,18,35,25,26,22,27,25,25,25,25,25,Straight,
23,23,23,23,28,28,21,27,20,24,23,23,23,26,22,Straight,
11,12,12,10,13,7,9,10,6,8,9,8,5,5,2,Turn,
11,9,11,9,11,7,12,9,8,13,11,8,15,13,11,Straight,
18,20,24,24,21,19,22,20,19,21,17,21,19,18,21,Straight,
11,13,13,11,11,11,10,9,11,8,10,8,7,6,5,Turn,
14,13,13,11,13,10,12,11,9,11,7,8,10,7,4,Turn,
10,15,0,21,9,9,7,11,8,9,9,9,10,8,4,Turn,
13,13,10,12,11,14,9,8,11,7,5,5,9,6,7,Turn,
24,22,28,25,25,25,37,28,28,25,27,30,24,28,27,Straight,
17,23,15,19,18,15,17,16,18,17,18,18,15,17,18,Straight,
27,22,22,21,18,17,17,20,13,15,12,14,14,10,8,Turn,
17,13,17,14,14,13,12,9,14,11,10,8,10,9,10,Turn,
10,12,12,10,10,11,9,12,9,9,5,13,17,7,6,Turn,
20,22,22,20,18,19,21,19,17,19,19,19,19,18,21,Straight,
24,27,24,27,23,32,31,27,28,25,27,26,28,24,30,Straight,
15,15,17,14,13,12,13,10,13,9,12,10,8,9,9,Turn,
23,20,22,26,28,23,23,21,22,20,23,23,21,23,22,Straight,
17,21,17,16,16,14,16,11,13,11,10,10,9,7,8,Turn,
18,25,23,25,19,24,19,21,19,21,19,22,17,20,24,Straight,
13,9,9,11,11,10,9,8,12,8,12,11,8,10,11,Straight,
25,25,28,23,26,33,32,25,26,26,26,29,25,27,29,Straight,
20,22,22,24,20,19,19,20,16,21,21,22,19,19,17,Straight,
19,23,20,19,20,19,22,18,20,18,20,20,20,18,22,Straight,
22,23,18,21,17,15,20,15,13,13,14,11,11,9,11,Turn,
22,22,22,24,26,26,26,22,24,23,25,23,23,25,24,Straight,
21,23,23,23,25,29,29,25,25,23,26,22,25,27,25,Straight,
20,25,22,25,21,21,20,21,19,20,21,18,21,19,21,Straight,
18,16,17,13,18,13,14,12,13,12,10,12,7,10,7,Turn,
14,17,14,14,15,15,11,13,12,11,12,10,9,9,9,Turn,
17,16,16,14,14,12,13,13,12,11,12,10,10,5,11,Turn,
14,15,12,12,13,12,11,11,10,11,9,10,9,7,7,Turn,
18,21,20,24,24,21,20,21,22,20,20,24,19,26,21,Straight,
9,9,9,9,7,10,8,7,6,6,5,8,6,4,8,Turn,
23,23,21,27,27,28,22,25,23,25,23,24,22,25,25,Straight,
20,18,20,22,20,20,19,18,19,18,20,20,21,15,21,Straight,
10,12,9,11,8,12,8,8,7,9,10,3,6,9,5,Turn,
12,13,11,11,10,9,9,10,6,11,3,7,6,5,7,Turn,
13,12,16,12,13,10,14,13,8,8,4,9,7,7,9,Turn,
24,26,26,26,27,28,36,35,31,26,31,29,31,30,34,Straight,
19,21,23,23,23,26,23,23,21,24,24,21,27,22,23,Straight,
16,13,16,13,13,11,12,10,11,8,11,10,8,9,7,Turn,
23,21,22,20,29,22,21,22,22,24,21,23,21,22,23,Straight,
24,25,24,25,28,32,29,26,27,24,27,26,27,27,27,Straight,
20,21,21,23,26,22,20,22,21,20,21,20,21,22,21,Straight,
10,11,11,10,10,10,9,10,4,4,6,9,5,7,5,Turn,
9,11,5,10,6,6,6,5,8,4,6,3,4,5,10,Turn,
9,9,9,9,10,0,16,8,10,6,6,10,7,0,14,Turn,
18,24,20,27,22,19,20,20,23,20,18,24,22,23,21,Straight,
9,11,11,13,11,9,8,9,8,9,8,5,5,6,6,Turn,
17,15,17,12,12,14,11,9,11,9,8,8,6,5,7,Turn,
20,20,23,24,26,22,21,19,22,22,20,21,22,22,18,Straight,
16,16,15,13,14,12,13,11,12,10,10,10,9,9,7,Turn,
17,14,13,14,13,11,10,12,10,10,9,10,10,11,9,Turn,
18,20,22,22,20,21,17,19,18,20,20,21,21,22,23,Straight,
21,23,23,27,29,25,25,21,25,23,23,26,22,21,24,Straight,
19,27,24,22,27,28,21,19,21,18,19,18,20,18,21,Straight,
15,17,12,15,12,13,10,11,11,7,6,8,6,6,4,Straight,
22,21,25,25,26,21,25,23,21,21,23,24,23,21,23,Straight,
22,24,24,22,30,26,24,24,23,22,21,23,22,26,22,Straight,
24,23,28,24,31,29,25,24,28,23,24,25,26,23,25,Straight,
18,19,18,16,18,14,15,13,10,10,10,7,11,1,7,Turn,
15,9,10,12,11,5,11,9,5,14,4,6,8,5,8,Turn,
15,14,16,13,13,10,10,10,9,7,10,6,9,7,7,Turn,
24,24,24,25,29,34,28,27,25,28,25,26,25,25,27,Straight,
22,20,27,20,25,27,22,24,22,19,23,23,25,24,21,Straight,
12,16,13,15,13,14,12,10,14,7,13,11,9,10,8,Turn,
19,25,23,26,27,28,24,22,26,24,24,22,24,23,26,Straight,
12,7,11,9,8,11,7,0,11,9,11,4,5,8,6,Turn,
21,20,21,27,26,22,20,23,19,24,23,20,19,24,25,Straight,
19,19,22,23,17,19,20,17,18,19,17,16,22,17,20,Straight,
42,20,19,17,15,20,17,17,18,18,16,20,18,18,17,Straight,
23,20,21,23,28,22,22,21,22,20,21,21,23,20,21,Straight,
13,15,0,24,14,14,6,12,8,12,0,16,0,16,9,Turn,
26,13,10,0,22,11,8,12,9,9,10,9,6,7,7,Turn,
16,16,13,14,12,13,10,12,12,9,11,10,8,10,9,Turn,
23,28,25,25,26,30,34,25,27,25,25,28,26,26,27,Straight,
3,0,3,0,0,3,3,0,0,6,4,0,4,4,3,Turn,
23,18,17,16,19,14,13,16,18,15,14,23,13,17,17,Straight,
16,21,18,29,19,20,22,19,20,22,21,18,20,22,20,Straight,
9,10,13,10,9,10,6,9,8,8,8,5,7,6,6,Turn,
21,21,12,19,16,15,15,11,13,10,10,10,10,5,9,Turn,
16,18,17,13,13,14,15,10,7,13,9,12,9,10,8,Turn,
